Name,Order Form,VIN Log,Filter Out,Order Form ID,VIN Log ID,Pipedrive ORG ID
Indigo Auto Group,https://docs.google.com/spreadsheets/d/1lv6mMhE0YzWpZjNG_aDa1kZgDEf4eQYsTHz8U0wbSL8/edit?gid=788639086#gid=788639086,https://docs.google.com/spreadsheets/d/1-YdxzNlSTOSD_7tI-AOYs3DKQM2iwhuO8OxEUeFTF68/edit?gid=0#gid=0,"Missing Stock #, New",1lv6mMhE0YzWpZjNG_aDa1kZgDEf4eQYsTHz8U0wbSL8,1-YdxzNlSTOSD_7tI-AOYs3DKQM2iwhuO8OxEUeFTF68,
Joe Machens CDJR,https://docs.google.com/spreadsheets/d/13hfuHXRhvgK9ULLDgNQNRx15YnU07y_3wULka8WsFXs/edit?gid=54925382#gid=54925382,https://docs.google.com/spreadsheets/d/1Q7YA2XPMOmAogVViE-q_kF6oiufD5tMZaY4S4AUscbk/edit?gid=0#gid=0,"In-Transit, Missing Stock #",13hfuHXRhvgK9ULLDgNQNRx15YnU07y_3wULka8WsFXs,1Q7YA2XPMOmAogVViE-q_kF6oiufD5tMZaY4S4AUscbk,
Joe Machens Nissan,https://docs.google.com/spreadsheets/d/167zJww2sLa1NgI1JwZeYhTGxo6gQkWXklSNwyLGJHhI/edit?gid=54925382#gid=54925382,https://docs.google.com/spreadsheets/d/1zEYKFbb252R3lr2vGjN0WgCjfkrOqyx6IngSnZ1-lhI/edit?gid=0#gid=0,"Missing Stock #, New",167zJww2sLa1NgI1JwZeYhTGxo6gQkWXklSNwyLGJHhI,1zEYKFbb252R3lr2vGjN0WgCjfkrOqyx6IngSnZ1-lhI,
Joe Machens Toyota,https://docs.google.com/spreadsheets/d/1popiFJYUFTD_6R7LV91FyqPzfiiFW7WjvGmr7Y827qw/edit?gid=54925382#gid=54925382,https://docs.google.com/spreadsheets/d/1dFXOuPi3AAzZtz-grz-eUy5JknxkBLpb5GjeQnhhDV0/edit?gid=0#gid=0,"In-Transit, Missing Stock #",1popiFJYUFTD_6R7LV91FyqPzfiiFW7WjvGmr7Y827qw,1dFXOuPi3AAzZtz-grz-eUy5JknxkBLpb5GjeQnhhDV0,
Kia of Columbia,https://docs.google.com/spreadsheets/d/1F0vF0Ql8lGAEH_CqOkBasII_NbbfEx5oZhiL3mAlXJs/edit?gid=54925382#gid=54925382,https://docs.google.com/spreadsheets/d/1oZXG7fj1noSS7jdL0ZOVLPLbsiZscINSts7Fh_ePNzs/edit?gid=0#gid=0,"Missing Stock #, New",1F0vF0Ql8lGAEH_CqOkBasII_NbbfEx5oZhiL3mAlXJs,1oZXG7fj1noSS7jdL0ZOVLPLbsiZscINSts7Fh_ePNzs,
Mini of St. Louis,,,"In-Transit, Missing Stock #",,,
Pappas Toyota - READ NOTES,https://docs.google.com/spreadsheets/d/1PEbFdzPejS_a6b-lP9T3RSn0i3UgOVU3hEiZWfj3mHA/edit?gid=54925382#gid=54925382,https://docs.google.com/spreadsheets/d/1pIhpO7WQiHt-VPVVYeGu2mUDZuFEXU1TW1dKiF05bPg/edit?gid=0#gid=0,"In-Transit, Missing Stock #, Used",1PEbFdzPejS_a6b-lP9T3RSn0i3UgOVU3hEiZWfj3mHA,1pIhpO7WQiHt-VPVVYeGu2mUDZuFEXU1TW1dKiF05bPg,
Porsche St. Louis,https://docs.google.com/spreadsheets/d/1DzjRLQ028ON_O11dgWP_GHHrXtd6VjCX-GCV4xMcDcw/edit?gid=788639086#gid=788639086,https://docs.google.com/spreadsheets/d/1Z0VdQONSW3csAI4MZ5_2cERQkuKRKFUoYnq-cLz3HMs/edit?gid=0#gid=0,"In-Transit, Missing Stock #",1DzjRLQ028ON_O11dgWP_GHHrXtd6VjCX-GCV4xMcDcw,1Z0VdQONSW3csAI4MZ5_2cERQkuKRKFUoYnq-cLz3HMs,
Pundmann Ford - READ NOTES,https://docs.google.com/spreadsheets/d/1RtCtOHqFGuTwB8-uF0TsWPkyoWDBfxaAUAvaI8QNhoc/edit?gid=54925382#gid=54925382,https://docs.google.com/spreadsheets/d/1kBmsxnTwFdZIKiavfa9d98vyKLpRE34Uah36cVA1vKs/edit?gid=0#gid=0,"In-Transit, Missing Stock #",1RtCtOHqFGuTwB8-uF0TsWPkyoWDBfxaAUAvaI8QNhoc,1kBmsxnTwFdZIKiavfa9d98vyKLpRE34Uah36cVA1vKs,
Rusty Drewing Cadillac,https://docs.google.com/spreadsheets/d/1vgVrIUXzTRbm7yAb2ZM1m8gKc8o6rAXvYEccThTKzm8/edit?gid=54925382#gid=54925382,https://docs.google.com/spreadsheets/d/1m2bM1Rz9ESLhG456u06xtnWAmu_Q0alwnBUH4W_P_aE/edit?gid=0#gid=0,"In-Transit, Missing Stock #, Used",1vgVrIUXzTRbm7yAb2ZM1m8gKc8o6rAXvYEccThTKzm8,1m2bM1Rz9ESLhG456u06xtnWAmu_Q0alwnBUH4W_P_aE,
