"Vin","Stock","Type","Year","Make","Model","Trim","Ext Color","Status","Price","Body Style","Fuel Type","MSRP","Date In Stock","Street Address","Locality","Postal Code","Region","Country","Location","Vechile URL"
"1GTUUCED3RZ262350","52805","New","2024","GMC","Sierra 1500","Crew Cab Short Box 4-Wheel Drive Elevation 3SB","Sterling Metallic","In-stock","62610","TRUCK","Gas","66360","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2024-GMC-Sierra_1500-Crew_Cab_Short_Box_4_Wheel_Drive_Elevation_3SB-SAINT_PETERS-MO/5911930720"
"3GTUUGEL7RG402642","52961","New","2024","GMC","Sierra 1500","Crew Cab Short Box 4-Wheel Drive Denali","Sterling Metallic","In-stock","64323","TRUCK","Gas","79525","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2024-GMC-Sierra_1500-Crew_Cab_Short_Box_4_Wheel_Drive_Denali-SAINT_PETERS-MO/5847158640"
"3GTUUGEL3RG411418","52949","New","2024","GMC","Sierra 1500","Crew Cab Short Box 4-Wheel Drive Denali","White Frost Tricoat","In-stock","64521","TRUCK","Gas","79745","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2024-GMC-Sierra_1500-Crew_Cab_Short_Box_4_Wheel_Drive_Denali-SAINT_PETERS-MO/5857241220"
"3GTUUGEL3RG411029","52951","New","2024","GMC","Sierra 1500","Crew Cab Short Box 4-Wheel Drive Denali","Onyx Black","In-stock","66316","TRUCK","Gas","81740","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2024-GMC-Sierra_1500-Crew_Cab_Short_Box_4_Wheel_Drive_Denali-SAINT_PETERS-MO/5851454230"
"3GTUUFE89RG426494","52976","New","2024","GMC","Sierra 1500","Crew Cab Short Box 4-Wheel Drive AT4X","Summit White","In-stock","75332","TRUCK","Diesel","89535","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2024-GMC-Sierra_1500-Crew_Cab_Short_Box_4_Wheel_Drive_AT4X-SAINT_PETERS-MO/5870365440"
"1GKS2DKL3RR382703","53030","New","2024","GMC","Yukon","4WD 4dr Denali","Volcanic Red Tintcoat","In-stock","85472","SUV","Gas","94055","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2024-GMC-Yukon-4WD_4dr_Denali-SAINT_PETERS-MO/5890728350"
"1GKB0SDC2RU107604","52836","New","2024","GMC","HUMMER EV SUV","3X OMEGA LIMITED EDITION SUV","Neptune Blue Matte","In-stock","125935","SUV","Electric","142935","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2024-GMC-HUMMER_EV_SUV-e4WD_4dr_3X-SAINT_PETERS-MO/5906411040"
"1GTP5BEK3R1232010","52956","New","2024","GMC","Canyon","Crew Cab Short Box 2-Wheel Drive Elevation","Summit White","In-stock","","TRUCK","Gas","","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2024-GMC-Canyon-Crew_Cab_Short_Box_2_Wheel_Drive_Elevation-SAINT_PETERS-MO/5904440160"
"KL47LAEP0SB172046","27583","New","2025","Buick","Envista","FWD 4dr Preferred","Summit White","In-stock","23590","SUV","Flexible Fuel","25095","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5977372830"
"KL47LAEP9SB198581","N/A","New","2025","Buick","Envista","FWD 4dr Preferred","Summit White","In-transit","23825","SUV","Flexible Fuel","25345","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5996031110"
"KL47LAEP6SB200657","N/A","New","2025","Buick","Envista","FWD 4dr Preferred","Summit White","In-transit","23825","SUV","Flexible Fuel","25345","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5996074980"
"KL47LAEP7SB200635","N/A","New","2025","Buick","Envista","FWD 4dr Preferred","Summit White","In-transit","23825","SUV","Flexible Fuel","25345","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5996111890"
"KL47LAEPXSB200676","N/A","New","2025","Buick","Envista","FWD 4dr Preferred","Summit White","In-transit","23825","SUV","Flexible Fuel","25345","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5996615260"
"KL47LAEP0SB171866","N/A","New","2025","Buick","Envista","FWD 4dr Preferred","Moonstone Gray Metallic","In-transit","24055","SUV","Flexible Fuel","25590","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5977358170"
"KL47LAEPXSB172040","N/A","New","2025","Buick","Envista","FWD 4dr Preferred","Ocean Blue Metallic","In-transit","24055","SUV","Flexible Fuel","25590","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5977358120"
"KL47LAEP3SB154673","27543","New","2025","Buick","Envista","FWD 4dr Preferred","Summit White","In-stock","24102","SUV","Flexible Fuel","25640","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5975220090"
"KL47LAEP2SB156866","27577","New","2025","Buick","Envista","FWD 4dr Preferred","Summit White","In-stock","24102","SUV","Flexible Fuel","25640","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5990087640"
"KL47LAEP8SB200790","N/A","New","2025","Buick","Envista","FWD 4dr Preferred","Moonstone Gray Metallic","In-transit","24290","SUV","Flexible Fuel","25840","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5996080540"
"KL47LAEP5SB198741","N/A","New","2025","Buick","Envista","FWD 4dr Preferred","Moonstone Gray Metallic","In-transit","24290","SUV","Flexible Fuel","25840","","4200 N SERVICE RD","SAINT PETERS","63376","MO","US","Suntrup Buick GMC","https://www.suntrupbuickgmc.com/VehicleDetails/new-2025-Buick-Envista-FWD_4dr_Preferred-SAINT_PETERS-MO/5996080590"
