QRYEARMODEL,QRSTOCK,@QR2
2024 Honda Accord - T24001,NEW - 1HGCM82633A123456,orders\Columbia_Honda\20250731_090213\qr_codes\Columbia_Honda_QR_Code_2.PNG
2025 Honda Ridgeline - SB034387,NEW - 5FPYK3F43SB034387,orders\Columbia_Honda\20250731_090213\qr_codes\Columbia_Honda_QR_Code_3.PNG
2025 Honda Accord - SA030876,NEW - 1HGCY1F49SA030876,orders\Columbia_Honda\20250731_090213\qr_codes\Columbia_Honda_QR_Code_4.PNG
2025 Honda Accord Hybrid - SA048691,NEW - 1HGCY2F89SA048691,orders\Columbia_Honda\20250731_090213\qr_codes\Columbia_Honda_QR_Code_5.PNG
2023 GMC Acadia - PZ145072,USED - 1GKKNML4XPZ145072,
